acrimony,মেজাজের রুক্ষতা,,
acrylics,এক্রাইলিক,,
agendas,বিষয়সূচি,,
abhorrent,জঘন্য,,
aboriginals,প্রাসঙ্গিক,,
aberrated,বিপথগামী হত্তয়া,,
achromatically,বর্ণবিকারমুক্তভাবে,,
acuities,তীক্ষ্নতা,,
aerodrome,বিমানশালা,,
accorded,একমত হত্তয়া,,
accentuating,স্বরসঙ্ঘাতসহ উচ্চারণ করা,,
accuracies,সঠিকতা,,
adept,সুদক্ষ,,
affiance,বাগ্দান,,
aislings,ছাড়লেও,,
absorbable,শোষণযোগ্য,,
abusiveness,ছাত্রীরাও তাদের বক্তব্য দিতো,,
advancing,আগুয়ান,,
aldosterone,আলডেসটেরঅন,,
algae,শেত্তলাগুলি,,
aim,উদ্দেশ্য,,
adviser,উপদেষ্টা,,
aeronautical,বৈমানিক,,
aigrette,বকপাখি,,
airy,বায়বীয়,,
abolitions,রদ,,
admirable,ধন্য,,
adobe,রৌদ্রপক্ব ইষ্টক,,
adults,প্রাপ্তবয়স্কদের,,
acidification,অম্লীকরণ,,
acta,অ্যাক্টা,,
advisory,উপদেষ্টা,,
aerodynamics,বায়ুগতিবিদ্যা,,
aisles,মিন্টু,,
abominate,ঘৃণায় পরিহার করা,,
abysses,নরক,,
acquaints,পরিচিত করান,,
adonises,ভেনাসের প্রণয়পাত্র সুদর্শন যুবাদিশেষ,,
alchemic,অপরাসায়নিক,,
accoutring,সজ্জিত করা,,
aerostation,বিমানশালা,,
affliction,দু: খ,,
alar,পক্ষসম্বন্ধীয়,,
abord,নৌরুটে,,
absoluteness,নিরঙ্কুশ্তা,,
admeasuring,ভরণপোষণ করা,,
abdicating,ত্যাগ করা,,
abominates,ঘৃণায় পরিহার করা,,
adopters,গ্রহীতারা,,
adjustment,সমন্বয়,,
affines,পেজে সম্পর্কিত,,
aerologic,বায়বীয়,,
airfield,বিমানঘাঁটি,,
accouchement,সন্তানপ্রসবার্থ পোয়াতির শয্যায় শয়ন,,
acquittal,বেকসুর খালাস,,
affixes,উপাঙ্গ,,
aircraft,বিমান,,
aigrettes,বকপাখি,,
airiest,বায়বীয়,,
abidance,পালন,,
accrescent,ক্রমবদ্র্ধিত,,
acquittance,প্রাপ্তিসূচক রসিদ,,
affordable,সাশ্রয়ী মূল্যের,,
airspace,আকাশসীমা,,
abuzz,সক্রিয়,,
acquirement,লব্ধি,,
actuarial,বিমার,,
affluence,সমৃদ্ধি,,
ails,মিথ্যাচার,,
airwomen,নারী-বৈমানিক,,
alay,বলেই,,
actinium,তেজস্ক্রিয় মৌল,,
accomplisher,মারা যায়,,
adjudgments,দেত্তয়া,,
academias,Académias,,
affranchises,ক্রীতদাসত্ব হইতে মুক্তি দেত্তয়া,,
abductors,অপহরণকারীরা,,
acknowledgement,স্বীকৃতি,,
affirmatory,সম্মতিসূচক,,
affluents,নেতাকেই,,
ahem,হুম,,
aircraftsman,বিমান - সৈনিক,,
advised,উপদিষ্ট,,
accounting,হিসাবরক্ষণ,,
adapted,অভিযোজিত,,
aerometers,বায়ুমানযন্ত্র,,
affiliating,প্রদানে,,
aiders,চিকিত্সাকারী,,
absorption,বিশোষণ,,
academe,কথাবার্তা,,
accolade,প্রশংসা,,
aide,সহায়তাকারী,,
airbase,বিমানঘাণ্টি,,
alexin,রক্তের তরল অংশে উপস্থিত এক ধরনের জীবাণুধ্বংসী প্রোটিন,,
abjectly,শোচনীয়ভাবে,,
acquainted,পরিচিত,,
adhesive,আঠালো,,
algebraical,বীজগাণিতিক,,
advise,উপদেশ,,
aetiologies,পীড়ার নিদান,,
addresses,ঠিকানা,,
administrates,শাসন করা,,
addles,ঘোলা করা,,
acinar,বর্তমান আমেরিকান,,
acre,একর,,
aestivation,মুকুলপত্রবিন্যাস,,
aids,এইডস রোগ,,
ahead,এগিয়ে,,
acquaint,পরিচিত করান,,
alcoholizes,সুরাসার মেশান,,
acetylation,তিনটা প্রজাতির,,
adductions,বিবৃত,,
alertest,সতর্ক,,
alienation,উন্মত্ততা,,
academicians,শিক্ষাবিদ,,
accessory,আনুষঙ্গিক,,
achieving,অর্জন,,
acidy,ঠক্ঠকিয়া,,
adventuring,ঝুঁকি লত্তয়া,,
aberrant,বিপথগামী,,
acquit,বেকসুর খালাস দেওয়া,,
adenoviruses,এডিনোভাইরাস,,
adjudging,বিচারপূর্বক স্থির করা,,
agglomeration,স্তূপ,,
abase,হীন করা,,
adaptor,এডাপটার,,
algorithmic,আলগোরিদিমিক,,
abrogating,ব্র্যাকের,,
acanthuses,বাসকগোত্রীয় বৃক্ষ,,
aconites,কুচিলা,,
adjudgment,কারাদণ্ড,,
adulators,চাটুকার,,
alberghi,হোটেল,,
alibi,অন্যত্রস্থিতি,,
ablate,কেড়ে নেত্তয়া,,
abolishing,বদলের,,
accent,স্বরাঘাত,,
acetylenes,উজ্জ্বল শিখাযুক্ত বর্ণহীন গ্যাসবিশেষ,,
achromatic,অবার্ণ,,
afterlives,ভবিষ্যৎ জীবন,,
albert,আলবার্ট,,
actions,কর্ম,,
aerates,বাতান্বিত করা,,
alibis,অপরাধের অনুষ্ঠানকালে অন্যত্র থাকার অজুহাতে রেহাই পাইবার দাবি,,
abaser,সর্বাধিক সম্ভ্রান্ত যে সর্বাধিক,,
abstersions,পরিষ্করণ,,
acclimations,আবহাত্তয়ায় অভ্যস্তকরণ,,
acetyl,এসিটায়েল,,
adumbrate,অস্পষ্ট আভাস দেত্তয়া,,
advantageous,সুবিধাজনক,,
alder,ভূর্জজাতীয় বৃক্ষবিশেষ,,
